timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW
2024/5/1 1:10,125.5,37.12,464838,56.6,61.9,47.1,49.3,219,193,393,388,50,1871.5
2024/5/1 1:11,123.7,40.08,457792,57.6,59.5,46.9,50.4,184,211,391,371,49.72,1887.8
2024/5/1 1:12,124.5,36.16,461038,57.3,60.3,48.6,50.6,221,200,391,377,49.74,1880.5
2024/5/1 1:13,120.8,40.18,453492,60.5,56.9,48.4,48.5,220,229,399,410,50,1806.8
2024/5/1 1:14,124.9,29.74,465439,58.9,55.9,48.3,44.7,200,213,411,413,50,1783
2024/5/1 1:15,125.7,38.36,473333,56.2,57.8,46.2,47.3,212,195,409,396,49.76,1797.3
2024/5/1 1:16,125.5,36.54,456175,56.4,57.1,46.1,47.2,200,222,378,384,49.76,1793.7
2024/5/1 1:17,128.6,35.59,460035,62.1,56.6,46.9,49.9,216,227,366,388,49.95,1843.4
2024/5/1 1:18,126.5,36.59,469101,60.5,58.8,48.8,49,221,206,398,391,49.87,1857
2024/5/1 1:19,126.5,31.41,474842,60,56,49.3,50,199,206,392,392,50,1881.1
2024/5/1 1:20,123.2,35.84,453264,58.4,60,51.1,46.8,196,214,391,398,50,1885.5
2024/5/1 1:21,125.2,37.3,463924,61.4,57.6,46.5,48.6,224,189,396,395,50,1853
2024/5/1 1:22,125,40.12,467604,56.2,58.3,49.6,43.6,234,220,388,377,50,1760.5
2024/5/1 1:23,124.5,35.15,464587,59.9,58.6,44.7,47.4,217,232,372,378,50,1808.5
2024/5/1 1:24,124.5,34.44,445653,57.5,57.4,48.9,45.2,218,203,378,398,49.97,1796
2024/5/1 1:25,123,35.23,469541,57.9,60.9,45.2,51.7,207,233,378,387,49.59,1850.8
2024/5/1 1:26,123.8,38.79,477751,59.8,55.2,45.7,49.1,213,223,399,390,49.82,1779
2024/5/1 1:27,127.1,37.34,466594,58.1,60.9,49.7,49,215,210,414,392,49.37,1863.1
2024/5/1 1:28,125.6,35.21,457476,57.5,57.7,48.5,45.7,209,219,386,385,50,1789.9
2024/5/1 1:29,125,37.83,461684,57.4,60.2,47.6,47.9,227,230,423,393,50,1776.3
2024/5/1 1:30,125.8,36.81,480013,54.4,58.8,45.4,49.5,213,213,369,400,49.89,1780.3
2024/5/1 1:31,127.5,39.01,473197,59.9,60.1,48.9,46.5,215,216,385,390,49.75,1851.5
2024/5/1 1:32,125.8,34.85,471102,56.4,58.2,48.4,47.3,209,205,394,408,50,1810.4
2024/5/1 1:33,126.6,35.8,468897,62.1,58.9,49.6,50.4,211,210,361,410,50,1916.3
2024/5/1 1:34,124.5,35.66,460821,57.8,60.6,44.7,46.1,226,220,410,381,50,1773.5
2024/5/1 1:35,124.9,32.99,464569,61,58.6,49.4,47.3,213,209,383,397,50,1873.4
2024/5/1 1:36,126.4,37.41,465615,54.8,61.1,47.1,46.6,213,205,392,389,49.95,1813.4
2024/5/1 1:37,128.7,37.34,470699,59.9,59.1,48.8,48.9,214,225,397,382,50,1858.6
2024/5/1 1:38,128,36.72,478437,60.4,57,48.1,49.8,207,217,373,391,49.94,1857.8
2024/5/1 1:39,126.7,36.14,475377,61,57.7,46.5,51.4,195,206,421,366,50,1893.1
2024/5/1 1:40,126.1,33.2,455139,55.4,60.2,47.4,49,230,232,393,401,50,1780.6
2024/5/1 1:41,128,35.71,468350,57,56,46.5,50.7,224,237,388,402,50,1762.9
2024/5/1 1:42,127.1,35.92,472516,59.6,60,47.2,49,226,224,378,394,50,1835.9
2024/5/1 1:43,122.5,34.79,471636,58.7,57.7,46.4,45.5,199,197,394,403,50,1826.5
2024/5/1 1:44,124.3,36.41,461715,59,55.9,49,48.3,229,216,373,383,49.81,1809.7
2024/5/1 1:45,126.4,37.84,490126,57.7,58.9,46.5,48.3,235,219,393,358,49.87,1796
2024/5/1 1:46,123.2,41.56,456660,61.6,57.1,49.3,50.4,224,193,409,386,50,1886.8
2024/5/1 1:47,124.6,37.3,458275,63.7,57.3,54.8,48,231,226,406,377,49.96,1885.7
2024/5/1 1:48,124.9,37.52,468873,58.7,57.2,47.7,47.5,221,214,385,392,50,1805.6
2024/5/1 1:49,125.6,36.71,484002,59.4,58.7,45.1,46.5,201,225,389,409,50,1800.4
2024/5/1 1:50,125.5,32.11,460442,58.6,57.7,52.4,47.7,218,208,398,395,49.97,1844.6
2024/5/1 1:51,125.5,36.86,465068,61.1,59.3,48.9,48.1,199,217,406,389,50,1880.1
2024/5/1 1:52,127.2,37.1,475877,60.1,60.5,48,49.4,204,218,410,405,50,1877.6
2024/5/1 1:53,125.6,43.12,467179,56.4,59.6,47.5,46.6,215,214,411,412,50,1784.4
2024/5/1 1:54,125.4,36.5,464708,57.3,62.1,46.1,52.9,214,218,381,397,50,1872.4
2024/5/1 1:55,124,37.75,471974,56.5,62.6,47.6,46.4,217,210,401,384,50,1828.5
2024/5/1 1:56,127.5,36.93,469692,63.9,57.9,46.7,45.7,190,197,375,393,49.87,1905.7
2024/5/1 1:57,125,34.11,475819,59.8,56.2,46.7,49.3,210,187,386,394,50,1846.9
2024/5/1 1:58,124.4,39.91,477971,57.3,57.9,49.4,45.7,218,204,378,390,49.93,1820.2
2024/5/1 1:59,126.4,38.95,470158,57.2,58.8,50.2,48.3,221,221,378,407,49.93,1821.7
2024/5/1 2:00,124.9,39.06,470099,60.1,63,47.8,46.9,222,199,395,402,50,1869.4
2024/5/1 2:01,125.3,34.83,469541,60.3,57.8,49.3,49.6,215,224,384,378,49.98,1861.3
2024/5/1 2:02,126.4,40.63,471805,60.1,59.1,52.5,48.6,207,228,396,377,49.21,1886.1
2024/5/1 2:03,125.6,33.63,468396,57.7,57.2,46.6,50.6,218,217,378,386,49.93,1805.2
2024/5/1 2:04,129.5,38.62,468013,59.2,57.8,45,49.1,208,210,398,380,49.99,1827.6
2024/5/1 2:05,126,42.65,477654,58.8,56.1,49.9,48.4,223,224,387,387,50,1801.7
2024/5/1 2:06,127,34.71,480273,56.7,55.6,46.8,48.7,217,226,389,392,50,1757.1
2024/5/1 2:07,123.2,35.79,456147,56.7,61.3,47.2,46.3,211,209,377,390,50,1834.7
2024/5/1 2:08,124.8,37.47,468350,59.4,60.7,48.5,46.9,203,213,404,394,49.91,1852
2024/5/1 2:09,124.5,35.98,462823,59,57.8,50.8,48.7,225,202,394,388,50,1856.7
2024/5/1 2:10,124.7,33.38,465908,59.7,60.7,48.5,49.5,219,215,399,375,50,1865.3
2024/5/1 2:11,126.8,37.44,471679,60.2,56,44,47.6,237,187,377,381,49.97,1807.9
2024/5/1 2:12,127.7,34.63,473877,61.6,58.2,49,47.9,218,208,400,380,50,1855.8
2024/5/1 2:13,126.7,38.49,467687,57,58.9,48.8,47.5,219,202,393,383,50,1837.8
2024/5/1 2:14,125.8,35.03,453340,59.8,61.1,46.6,49,194,211,386,397,49.66,1894
2024/5/1 2:15,125.2,41.22,460989,60.1,59,44.9,48.3,216,202,409,388,50,1841.2
2024/5/1 2:16,127.9,35.4,475944,58,59.7,47.5,49.5,208,189,397,381,49.48,1891.1
2024/5/1 2:17,129.3,36.57,446911,58.8,57.7,43.7,47.1,222,204,398,391,49.65,1789.4
2024/5/1 2:18,126.4,39.43,478397,58,59.1,44.7,48.2,216,206,369,396,49.85,1823.5
2024/5/1 2:19,127.6,34.33,473129,62.8,61.1,45.6,51.3,224,225,405,395,49.78,1890.6
2024/5/1 2:20,126.7,38,479551,58.8,55.4,45.8,52.4,238,204,398,421,50,1800
2024/5/1 2:21,127.4,40.71,467496,59.5,60.9,50.1,47.8,202,202,407,385,49.43,1900.8
2024/5/1 2:22,124.5,33.44,452656,58.1,58.2,48,50.9,223,198,385,397,49.94,1854.5
2024/5/1 2:23,125.5,37.94,472652,57.7,55.8,49,50.8,220,226,384,405,50,1801.8
2024/5/1 2:24,126.8,38.14,479469,56,58.1,48.7,50,236,209,412,411,49.91,1787.1
2024/5/1 2:25,128.1,39.47,476731,60.8,61.2,45.2,44.8,221,215,404,389,49.95,1810.8
2024/5/1 2:26,125,34.44,464094,60.2,57.7,47.2,45.5,219,194,375,371,49.82,1837.2
2024/5/1 2:27,123.2,34.25,470152,58,59.2,47.9,47.3,222,191,393,389,49.47,1851.3
2024/5/1 2:28,125.5,38.87,465257,56.8,55.4,48.1,47.3,223,201,405,397,49.73,1773.9
2024/5/1 2:29,127.8,38.32,463028,59,55,49.3,46.5,230,232,395,424,50,1747.3
2024/5/1 2:30,123.9,38.22,477287,57.7,56.5,50.2,49.4,202,199,386,376,49.79,1867.1
2024/5/1 2:31,124.5,38.48,460126,58.2,60.7,49.1,49.6,207,205,385,392,50,1886.7
2024/5/1 2:32,126.6,35.93,462617,56.1,58.6,51.9,51.9,233,212,393,384,49.83,1849.5
2024/5/1 2:33,126.2,38.23,460998,59.1,60.9,49.2,47.1,189,205,405,404,49.63,1901.4
2024/5/1 2:34,127.2,38.4,457970,59.1,61,47.3,47,211,218,381,385,50,1851.6
2024/5/1 2:35,124.5,35.9,471125,60.9,57.2,50.9,48.7,214,202,367,374,50,1898.2
2024/5/1 2:36,125.9,42.36,479307,58.4,61.8,45.9,45.8,210,199,388,368,50,1862.4
2024/5/1 2:37,128.2,38.9,468598,58,57.6,49.4,52.1,231,245,398,396,50,1810.5
2024/5/1 2:38,124.6,34.76,458092,55.6,60.7,48,47.6,218,201,401,394,50,1831.3
2024/5/1 2:39,128.6,39.39,476920,60.9,60.6,46.6,48.2,208,222,381,399,49.7,1860.8
2024/5/1 2:40,124.8,35.33,483747,60.5,58.8,48.8,48.6,205,201,396,394,50,1870
2024/5/1 2:41,127.7,39.75,465153,58.8,58.8,47.8,48.1,216,194,385,396,49.8,1854
2024/5/1 2:42,125.8,40.7,466556,56,59.3,44.7,47.8,226,211,402,398,50,1769.7
2024/5/1 2:43,124.7,35.77,474571,56.3,58.9,48.7,53.1,214,196,391,383,49.95,1889.2
2024/5/1 2:44,125.7,40.24,483482,57.6,57.9,46.3,48.5,211,208,403,393,49.7,1814.4
2024/5/1 2:45,127.2,38.88,466410,60.6,57.8,48.6,49.3,204,203,394,399,50,1887.1
2024/5/1 2:46,126.4,39.92,459970,59.3,58,48.1,47.4,217,227,399,381,49.87,1803
2024/5/1 2:47,128.1,42.63,475742,55.7,61.2,49.2,49.6,216,194,388,372,50,1869.7
2024/5/1 2:48,128.6,37.29,477145,59.5,55.6,43.8,48.4,204,221,384,397,49.95,1777.9
2024/5/1 2:49,124.7,36.04,470862,57.1,57.7,46.4,48.9,225,216,389,391,49.99,1792.4
2024/5/1 2:50,124.6,35.71,466409,57.7,58.1,48.6,49.3,233,210,400,409,50,1795.3
2024/5/1 2:51,124.5,35.91,478890,60.7,58.3,54.1,50.1,213,203,423,401,50,1915
2024/5/1 2:52,125.1,37.78,475220,60.3,59.3,48.7,49.8,216,215,408,389,50,1860.3
2024/5/1 2:53,128.2,38.84,464909,60.9,56.1,47.5,48.3,199,215,411,377,49.55,1833.2
2024/5/1 2:54,127.4,38.7,471511,58.7,60.8,50.1,48.4,221,217,392,409,49.96,1851.1
2024/5/1 2:55,125.7,40.09,460365,60.5,60.5,47.2,46.2,218,209,387,402,49.99,1849.6
2024/5/1 2:56,126.5,38.07,476726,57.6,60.1,49.2,48,209,199,367,408,49.75,1873
2024/5/1 2:57,128.6,41.69,469202,58.3,58.4,48.5,48.6,204,223,386,405,50,1849.5
2024/5/1 2:58,129.4,37.41,467875,58.1,57.3,50.5,50.2,235,213,376,378,50,1850.4
2024/5/1 2:59,126.9,44.89,471158,58.8,58.1,49.7,43.7,217,205,402,399,50,1798.6
2024/5/1 3:00,122.6,39.67,471804,56.2,58.9,47.4,49,202,201,391,404,49.58,1836.9
2024/5/1 3:01,127,35.98,478701,58.3,60.1,45.4,46.8,223,224,377,394,50,1807.8
2024/5/1 3:02,128,35.46,476331,61.7,58.6,46.3,49.9,215,229,400,389,49.68,1843.9
2024/5/1 3:03,126.9,39.36,470411,56.6,59.5,49,51.1,213,220,397,388,50,1837.2
2024/5/1 3:04,127.7,37.61,477832,56.1,57.9,48.3,48.3,224,220,380,384,49.9,1791.5
2024/5/1 3:05,127.1,39.98,474989,56.3,59.4,48.5,51.3,181,227,411,392,50,1862.9
2024/5/1 3:06,124.8,39.39,468431,64.1,58.3,48.9,50.1,191,208,384,378,50,1948.5
2024/5/1 3:07,125.3,38.04,470906,59.7,59.3,46.8,48.7,229,238,400,371,49.82,1804.2
2024/5/1 3:08,126.1,36.12,470778,58.3,55.3,48.2,45.2,211,200,392,387,50,1785.1
2024/5/1 3:09,128.2,34.47,476066,59,59.8,48.4,49.2,208,210,413,386,,1854.2
2024/5/1 3:10,125.5,37.16,469147,59.3,59.9,45.5,46.8,197,204,404,420,50,1845.1
2024/5/1 3:11,127.3,40.43,469020,57.5,59.9,47.2,42.7,215,214,380,410,50,1777.7
2024/5/1 3:12,127.1,38.84,487953,57.8,56.9,49.2,46.2,217,234,415,391,50,1771
2024/5/1 3:13,129.1,35.21,479781,58.5,57.4,49.8,51.1,230,210,378,393,49.96,1841.9
2024/5/1 3:14,126.6,38.77,466238,57.4,57.1,46.8,48.7,217,218,381,406,50,1797.5
2024/5/1 3:15,124.1,39.32,476950,58.1,59.5,49.4,50.9,209,178,413,393,49.69,1910.7
2024/5/1 3:16,127.7,36.17,473389,59.6,60.2,47.2,51.6,218,218,393,391,50,1860.3
2024/5/1 3:17,129.9,38.78,475634,56.9,57.5,46.7,49,226,225,397,390,50,1770.8
2024/5/1 3:18,127.8,38.55,473660,64.1,61.5,52.3,47.3,224,214,398,392,49.91,1935.1
2024/5/1 3:19,125.5,35.57,482138,60.4,61.5,47.6,46.3,220,200,380,380,50,1883.2
2024/5/1 3:20,125.1,39.34,475445,56.3,59.1,45.5,48.3,216,199,416,407,49.86,1795.3
2024/5/1 3:21,125.3,39.86,472242,53.9,59.6,47.6,46.7,206,206,420,390,49.8,1804.4
2024/5/1 3:22,129.8,41.18,481136,57.5,55.5,47.9,46.2,201,198,371,409,50,1816
2024/5/1 3:23,126.3,41.13,474724,60.3,57.8,50.3,47.2,199,232,388,406,50,1843.7
2024/5/1 3:24,125.8,35.06,473888,59.9,56.4,47.7,47.9,218,219,402,399,49.85,1804.5
2024/5/1 3:25,126.5,36.18,475488,58.7,57.1,49.2,48,219,230,392,408,49.92,1791.9
2024/5/1 3:26,126.3,39.83,472286,57.7,59.9,50.6,48.3,226,210,387,391,49.84,1852.3
2024/5/1 3:27,129.1,39.84,473167,57.1,60.4,47.3,49.3,220,204,400,387,50,1837.5
2024/5/1 3:28,125.3,39.86,468459,58.1,60.5,49,48.1,226,205,401,386,50,1849.5
2024/5/1 3:29,128.6,48.22,467202,56.9,59.4,48.3,50,211,207,414,394,49.63,1842.5
2024/5/1 3:30,127,40.04,465281,58.1,60,48.9,49.9,222,207,373,402,49.7,1865.1
2024/5/1 3:31,128.6,41.46,462193,61.6,55.7,48.7,50.5,201,228,381,398,49.72,1857.5
2024/5/1 3:32,129.2,41.03,466349,57.4,56.3,48.8,48.2,212,224,385,417,49.89,1787
2024/5/1 3:33,127,40.29,472052,60.1,58.5,47.9,46,191,216,422,400,50,1829
2024/5/1 3:34,126.4,37.89,474329,60.5,60.1,48.5,48,213,193,412,387,50,1890.9
2024/5/1 3:35,127,40.59,471392,56.8,58,47.9,46.5,228,217,397,396,49.65,1770
2024/5/1 3:36,126.7,36.78,454775,57.3,56.2,53.1,50.1,214,209,393,404,50,1854.2
2024/5/1 3:37,124.4,38.13,486276,61.1,57.6,49.7,45.5,222,230,399,388,50,1814.2
2024/5/1 3:38,129.2,37.53,482429,57.1,57.1,48.5,49.2,216,224,408,386,50,1793.1
2024/5/1 3:39,127.3,38.96,477362,58.8,55.5,47.8,48.9,206,215,391,407,49.31,1813.9
2024/5/1 3:40,125.2,44.56,489114,63,63.4,50.4,49.9,211,188,397,403,50,1997.9
2024/5/1 3:41,123.8,34.12,466093,60.9,61.4,46.9,49,227,212,390,394,50,1864.9
2024/5/1 3:42,123.4,40.52,489071,59.1,55,45.9,48.4,222,205,377,388,50,1786.6
2024/5/1 3:43,128.1,34.79,466306,60.7,55.1,45.8,46.3,206,218,372,390,49.81,1795.8
2024/5/1 3:44,126,37.66,475995,58.9,57.4,51.1,51.9,197,200,386,397,49.73,1912.4
2024/5/1 3:45,126.3,41.58,463952,61,56,51,48.4,216,216,389,403,50,1844.9
2024/5/1 3:46,127.7,39.03,474318,54.9,63.7,48.8,47.8,206,187,399,406,50,1880
2024/5/1 3:47,126.2,36.2,477348,58.7,57.4,47.4,48.7,211,197,397,396,49.78,1836.9
2024/5/1 3:48,127.8,37.12,473079,54.8,59.7,47.4,50.8,196,203,377,379,50,1869.9
2024/5/1 3:49,127.1,40.62,480085,59.3,58,52.6,48,226,207,394,411,49.63,1853
2024/5/1 3:50,126.9,37.11,475223,58.5,56.7,48.3,50.8,212,218,387,408,49.69,1832.1
2024/5/1 3:51,124.6,39.5,470309,61.7,61.1,49.2,48.9,214,193,391,406,50,1920.9
2024/5/1 3:52,125.8,39.09,470011,60.4,60.3,47.6,50,203,206,395,410,49.73,1895.8
2024/5/1 3:53,127.9,37.36,481090,58,58.9,48.7,49,210,206,409,404,49.46,1837
2024/5/1 3:54,126,44.37,469430,58.2,63.8,49.3,49.9,215,222,388,395,50,1887.1
2024/5/1 3:55,128.8,40.61,482040,59.8,59.5,52.1,50.3,206,211,414,381,50,1919
2024/5/1 3:56,130.6,33.98,484556,57.9,58.1,48.3,49.4,211,202,378,385,49.7,1855.3
2024/5/1 3:57,128,39.52,461481,59,62.9,49.5,51.7,230,200,383,389,49.93,1917.4
2024/5/1 3:58,129.3,37.42,483951,61.7,59.8,47.8,48.3,192,207,393,403,49.68,1904.7
2024/5/1 3:59,128.1,41.22,491428,57.4,62.3,48.9,50.9,216,194,380,413,,1905.3
2024/5/1 4:00,126.3,37.12,477017,58.1,59,49.2,47.3,204,233,378,411,49.4,1818.1
2024/5/1 4:01,127.4,38.83,479851,58.4,53,48.1,49.3,230,213,395,389,49.6,1773.6
2024/5/1 4:02,130.1,40.4,483411,65.4,55.9,49,46.9,211,203,378,393,50,1886.6
2024/5/1 4:03,126.3,41.32,472967,60.3,61.2,47.1,46.9,201,201,383,378,50,1900.5
2024/5/1 4:04,125.5,36.17,476686,61.3,57.9,49.5,51.2,211,199,393,414,50,1900.8
2024/5/1 4:05,125.4,38.35,464770,60.6,59.6,48.6,52.7,218,218,415,377,49.92,1907.5
2024/5/1 4:06,126.8,38.02,476449,60.7,61.3,47.4,48.2,247,194,392,392,50,1874.3
2024/5/1 4:07,125.6,37.59,479381,60,59.4,48.3,46.5,188,211,396,411,50,1876.7
2024/5/1 4:08,129.6,43.65,479582,59.8,57.4,51.2,48.5,199,220,380,399,49.59,1871.3
2024/5/1 4:09,127.5,40.26,484032,56.2,59.1,48.3,47,229,207,382,401,50,1795.8
2024/5/1 4:10,128.6,36.12,469366,59.8,59.3,49.4,51.1,196,201,367,397,50,1932.5
2024/5/1 4:11,126.7,41.58,471360,58.9,58.3,49.4,49.8,214,224,382,373,50,1861.1
2024/5/1 4:12,125.5,44.61,490840,60.2,56.3,49.7,49.7,208,200,403,400,50,1873.8
2024/5/1 4:13,125.2,41.9,474529,59,58.4,46.3,48.3,206,210,387,402,49.41,1832.6
2024/5/1 4:14,125.8,35.53,477388,60.6,58.9,46.5,47.1,212,215,396,388,49.96,1828.5
2024/5/1 4:15,127.7,38.14,475307,61,56.2,47.1,50.7,210,206,397,403,50,1858.5
2024/5/1 4:16,128,42.53,469326,53.3,57.3,49.8,48.3,226,199,403,389,49.78,1780.7
2024/5/1 4:17,128.1,37.61,488943,58.2,57.7,49.1,46.5,230,207,414,411,50,1794.9
2024/5/1 4:18,125,40.51,471788,55.4,55.4,49,51.7,219,218,402,394,49.81,1792.9
2024/5/1 4:19,127.2,41.35,467047,59.6,59.4,48.3,53.5,211,205,392,401,49.36,1906.8
2024/5/1 4:20,125.7,37.11,472514,58.5,59.6,45.9,48.9,217,219,404,398,49.77,1810.1
2024/5/1 4:21,127.8,39.3,460162,61.8,58,47.4,49.3,223,211,398,403,50,1842.3
